predictor,coef,se,z,p_value,IRR,IRR_lo95,IRR_hi95
Intercept,-6.825501688617641,0.3574605945666305,-19.094417097617654,2.8097593476683805e-81,0.001085731105868744,0.0005388293834873841,0.0021877278232703616
sin1,-0.8757198764914977,0.2874636837664292,-3.0463669880576636,0.0023162493578827753,0.41656203849799817,0.23713199699567059,0.7317609353274069
cos1,-0.9788701160041033,0.47216112645924596,-2.0731696472869063,0.03815649409704994,0.37573539651390375,0.14892850524478954,0.9479520925924271
sin2,-0.4010103290890503,0.19369876435465222,-2.07027819937365,0.0384262998996508,0.669643144198544,0.4581068014682275,0.9788589454138735
cos2,-0.19339079159139394,0.15254557077294947,-1.2677575009977768,0.20488456339624228,0.8241598364648056,0.6111733674316813,1.1113694938901646
is_final_int,0.5833234399705016,0.08873103213212682,6.5740635035315655,4.8960333893085733e-11,1.7919840968191982,1.5059347664668248,2.132367931704603
year_c,-0.1159966258538094,0.014827124761073193,-7.823271721456367,5.146784531971077e-15,0.8904782278961241,0.864972766483667,0.9167357691278185
