predictor,coef,se,z,p_value,IRR,IRR_lo95,IRR_hi95
Intercept,-7.583638269860843,0.33709881723837865,-22.49678100916649,4.463006915609589e-112,0.0005087070385616396,0.00026274152311970205,0.000984933207395068
sin1,-0.8081866931141523,0.2857976658831976,-2.827828179130229,0.004686495249473492,0.445665462224781,0.25452917192242536,0.7803337539657803
cos1,-0.5696936234876098,0.44122839396249147,-1.2911535868565136,0.19665042551978562,0.5656987289557904,0.2382379333808111,1.3432581763990927
sin2,-0.35700505659111215,0.1842157946294719,-1.9379720251956962,0.05262663563228208,0.6997689592801647,0.4876967991465576,1.0040594837385681
cos2,-0.07082840790772674,0.13733846023257082,-0.5157215814694948,0.6060488792276484,0.9316217373362298,0.7117654516682144,1.2193891392777954
is_final_int,0.4482435237529239,0.06929772986404438,6.468372407470425,9.906411262810883e-11,1.5655599002577878,1.3667319729816585,1.7933126975497093
year_c,-0.12993851173669896,0.012553650591891972,-10.350655435688353,4.156305679397396e-25,0.8781494251436097,0.8568064646466109,0.9000240365811325
