competitionId,roundTypeId,n_competitors,n_attempts,n_single_rec,n_avg_rec,n_wr_single,n_wr_avg,n_cr_single,n_cr_avg,n_nr_single,n_nr_avg,eventId,n_records,n_wr,n_cr,n_nr,local_hour,bin_15min,timezone,countryId,year,is_final,round_stage,round_name,era
100Merito2018,c,7,29,0,0,0,0,0,0,0,0,444,0,0,0,0,,,,Brazil,2018,True,Final,Final,2016-2018
100YearsRepublicAnkara2023,f,12,60,0,0,0,0,0,0,0,0,444,0,0,0,0,15.75,15.75,Europe/Istanbul,Turkey,2023,True,Final,Final,2023-2026
100YearsRepublicIstanbul2023,d,19,74,0,0,0,0,0,0,0,0,444,0,0,0,0,14.75,14.75,Europe/Istanbul,Turkey,2023,False,Early,First round,2023-2026
100YearsRepublicIstanbul2023,f,6,30,0,0,0,0,0,0,0,0,444,0,0,0,0,12.25,12.25,Europe/Istanbul,Turkey,2023,True,Final,Final,2023-2026
100YilMBACubeWeekend2023,c,8,40,0,0,0,0,0,0,0,0,444,0,0,0,0,16.5,16.5,Europe/Istanbul,Turkey,2023,True,Final,Final,2023-2026
100YilMBACubeWeekend2023,d,26,85,0,0,0,0,0,0,0,0,444,0,0,0,0,13.5,13.5,Europe/Istanbul,Turkey,2023,False,Early,First round,2023-2026
10JohrWilerWurfelfast2024,c,71,313,0,0,0,0,0,0,0,0,444,0,0,0,0,12.333333333333334,12.25,Europe/Zurich,Switzerland,2024,True,Final,Final,2023-2026
10doRioGrandedoNorte2018,c,11,52,0,0,0,0,0,0,0,0,444,0,0,0,0,15.5,15.5,America/Recife,Brazil,2018,True,Final,Final,2016-2018
10thAnniversaryCervantes2024,c,18,90,0,0,0,0,0,0,0,0,444,0,0,0,0,17.5,17.5,America/Montevideo,Uruguay,2024,True,Final,Final,2023-2026
150thCubeMeetinginBrest2017,d,25,101,0,0,0,0,0,0,0,0,444,0,0,0,0,,,,Belarus,2017,False,Early,First round,2016-2018
150thCubeMeetinginBrest2017,f,12,60,0,0,0,0,0,0,0,0,444,0,0,0,0,,,,Belarus,2017,True,Final,Final,2016-2018
15AnosSanSilvestre2024,d,12,57,0,0,0,0,0,0,0,0,444,0,0,0,0,8.0,8.0,America/Bogota,Colombia,2024,False,Early,First round,2023-2026
15AnosSanSilvestre2024,f,9,45,0,0,0,0,0,0,0,0,444,0,0,0,0,12.0,12.0,America/Bogota,Colombia,2024,True,Final,Final,2023-2026
1AVG2013,1,26,130,0,0,0,0,0,0,0,0,444,0,0,0,0,,,,Netherlands,2013,False,Early,First round,2011-2015
1AVG2013,f,19,95,1,0,0,0,0,0,1,0,444,1,0,0,1,,,,Netherlands,2013,True,Final,Final,2011-2015
1BodyCubing2017,c,30,129,0,0,0,0,0,0,0,0,444,0,0,0,0,,,,USA,2017,True,Final,Final,2016-2018
1aLordagskubeniVasteras2024,f,25,117,0,0,0,0,0,0,0,0,444,0,0,0,0,13.0,13.0,Europe/Stockholm,Sweden,2024,True,Final,Final,2023-2026
1stBarpetaCubeOpen2024,c,7,29,0,0,0,0,0,0,0,0,444,0,0,0,0,12.0,12.0,Asia/Kolkata,India,2024,True,Final,Final,2023-2026
1stDibrugarhOpen2018,c,11,55,0,0,0,0,0,0,0,0,444,0,0,0,0,13.75,13.75,Asia/Kolkata,India,2018,True,Final,Final,2016-2018
1stJorhatOpen2019,c,8,40,0,0,0,0,0,0,0,0,444,0,0,0,0,10.0,10.0,Asia/Kolkata,India,2019,True,Final,Final,2019-2022
1stSriLankanOpen2022,c,18,78,0,0,0,0,0,0,0,0,444,0,0,0,0,11.75,11.75,Asia/Colombo,Sri Lanka,2022,True,Final,Final,2019-2022
200Peru2024,c,7,32,0,0,0,0,0,0,0,0,444,0,0,0,0,14.333333333333334,14.25,America/Lima,Peru,2024,True,Final,Final,2023-2026
24HorasElTambo2024,f,6,30,0,0,0,0,0,0,0,0,444,0,0,0,0,3.333333333333333,3.25,America/Guayaquil,Ecuador,2024,True,Final,Final,2023-2026
24HorasemSalvador2024,d,17,76,0,0,0,0,0,0,0,0,444,0,0,0,0,3.0,3.0,America/Bahia,Brazil,2024,False,Early,First round,2023-2026
24HorasemSalvador2024,f,7,35,0,0,0,0,0,0,0,0,444,0,0,0,0,7.666666666666667,7.5,America/Bahia,Brazil,2024,True,Final,Final,2023-2026
24HoursWarmUpinAstana2024,d,16,74,0,0,0,0,0,0,0,0,444,0,0,0,0,23.83333333333333,23.75,Asia/Almaty,Kazakhstan,2024,False,Early,First round,2023-2026
24HoursWarmUpinAstana2024,f,10,50,0,0,0,0,0,0,0,0,444,0,0,0,0,6.666666666666667,6.5,Asia/Almaty,Kazakhstan,2024,True,Final,Final,2023-2026
24HoursinAker2024,d,35,148,0,0,0,0,0,0,0,0,444,0,0,0,0,4.5,4.5,Europe/Stockholm,Sweden,2024,False,Early,First round,2023-2026
24HoursinAker2024,f,25,125,0,0,0,0,0,0,0,0,444,0,0,0,0,12.166666666666666,12.0,Europe/Stockholm,Sweden,2024,True,Final,Final,2023-2026
24HoursinFlen2023,d,20,94,0,0,0,0,0,0,0,0,444,0,0,0,0,5.75,5.75,Europe/Stockholm,Sweden,2023,False,Early,First round,2023-2026
24HoursinFlen2023,f,15,75,0,0,0,0,0,0,0,0,444,0,0,0,0,6.5,6.5,Europe/Stockholm,Sweden,2023,True,Final,Final,2023-2026
2AVG2014,1,29,145,0,0,0,0,0,0,0,0,444,0,0,0,0,,,,Netherlands,2014,False,Early,First round,2011-2015
2AVG2014,f,21,105,0,0,0,0,0,0,0,0,444,0,0,0,0,,,,Netherlands,2014,True,Final,Final,2011-2015
2aLordagskubeniVasteras2024,f,15,63,0,0,0,0,0,0,0,0,444,0,0,0,0,13.166666666666666,13.0,Europe/Stockholm,Sweden,2024,True,Final,Final,2023-2026
2ndGuwahatiOpen2016,d,14,67,0,0,0,0,0,0,0,0,444,0,0,0,0,,,,India,2016,False,Early,First round,2016-2018
2ndGuwahatiOpen2016,f,7,35,0,0,0,0,0,0,0,0,444,0,0,0,0,,,,India,2016,True,Final,Final,2016-2018
2ndJogjaMiniCompetition2015,c,12,51,0,0,0,0,0,0,0,0,444,0,0,0,0,,,,Indonesia,2015,True,Final,Final,2011-2015
2ndNegrosSpeedcubingOpen2017,1,18,90,0,0,0,0,0,0,0,0,444,0,0,0,0,,,,Philippines,2017,False,Early,First round,2016-2018
2ndNegrosSpeedcubingOpen2017,f,5,25,0,0,0,0,0,0,0,0,444,0,0,0,0,,,,Philippines,2017,True,Final,Final,2016-2018
2x2at2inPrague2024,c,41,187,0,0,0,0,0,0,0,0,444,0,0,0,0,4.0,4.0,Europe/Prague,Czech Republic,2024,True,Final,Final,2023-2026
30thAnniversaryMegaHouse2010,1,30,150,0,0,0,0,0,0,0,0,444,0,0,0,0,,,,Japan,2010,False,Early,First round,
30thAnniversaryMegaHouse2010,f,12,60,0,0,0,0,0,0,0,0,444,0,0,0,0,,,,Japan,2010,True,Final,Final,
345CubeDayAllen2019,d,40,161,0,0,0,0,0,0,0,0,444,0,0,0,0,10.583333333333334,10.5,America/Chicago,USA,2019,False,Early,First round,2019-2022
345CubeDayAllen2019,f,8,40,0,0,0,0,0,0,0,0,444,0,0,0,0,17.5,17.5,America/Chicago,USA,2019,True,Final,Final,2019-2022
360DegreeWellnessOpen2014,c,18,75,0,0,0,0,0,0,0,0,444,0,0,0,0,,,,Philippines,2014,True,Final,Final,2011-2015
360DegreesWellnessOpen2015,1,19,95,0,0,0,0,0,0,0,0,444,0,0,0,0,,,,Philippines,2015,False,Early,First round,2011-2015
360DegreesWellnessOpen2015,f,8,40,0,0,0,0,0,0,0,0,444,0,0,0,0,,,,Philippines,2015,True,Final,Final,2011-2015
3MolaOpen2010,c,19,65,0,0,0,0,0,0,0,0,444,0,0,0,0,,,,Poland,2010,True,Final,Final,
3MolaOpen2011,c,24,75,0,0,0,0,0,0,0,0,444,0,0,0,0,,,,Poland,2011,True,Final,Final,2011-2015
3RegularFortaleza2020,c,13,56,0,0,0,0,0,0,0,0,444,0,0,0,0,12.75,12.75,America/Fortaleza,Brazil,2020,True,Final,Final,2019-2022
3eLordagskubeniVasteras2024,f,19,89,0,0,0,0,0,0,0,0,444,0,0,0,0,13.166666666666666,13.0,Europe/Stockholm,Sweden,2024,True,Final,Final,2023-2026
