predictor,coef,se,z,p_value,IRR,IRR_lo95,IRR_hi95
Intercept,-9.456528887729714,0.3780166019653596,-25.01617346583176,4.077034524116635e-138,7.817748341612195e-05,3.726605075703544e-05,0.00016400232353905094
sin1,-0.6612774170899538,0.29899914956195306,-2.2116364479924253,0.026991794902697864,0.5161915212821124,0.2872779739433476,0.9275117162170162
cos1,-0.58099392448435,0.5129789306591387,-1.1325882794792708,0.2573871928686716,0.5593421463363674,0.2046581703312823,1.52871315209033
sin2,-0.0691561847828468,0.19777083476498872,-0.3496783783363465,0.7265800820796671,0.9331809200363954,0.6333197195876616,1.3750189715977048
cos2,0.1289928206805327,0.15877313564707643,0.8124347998471233,0.41654218463590276,1.1376819563541951,0.8334372980627638,1.5529905330879938
is_final_int,1.1136546036298371,0.10128427192809951,10.99533602236295,4.0241186432319767e-28,3.045468059985055,2.4971275179364145,3.714217891465047
year_c,-0.15079287870865316,0.01260788580029693,-11.960203407386654,5.7421092758922953e-33,0.8600258098695887,0.8390341410447691,0.8815426660956052
