bin_15min,obs_rate,perm_mean,perm_lo,perm_hi,p_2sided,n_attempts
0.0,0.0,,,,,0.0
0.25,0.0,0.0,0.0,0.0,,206.0
0.5,0.0,,,,,0.0
0.75,0.0,0.0,0.0,0.0,,63.0
1.0,0.0,,,,,0.0
1.25,0.0,,,,,0.0
1.5,0.0,,,,,0.0
1.75,0.0,0.0,0.0,0.0,,172.0
2.0,0.0,0.0,0.0,0.0,,50.0
2.25,0.0,0.0,0.0,0.0,,214.0
2.5,0.0,,,,,0.0
2.75,0.0,,,,,0.0
3.0,0.0,0.0,0.0,0.0,,179.0
3.25,0.0,0.0,0.0,0.0,,133.0
3.5,0.0,0.0,0.0,0.0,,70.0
3.75,0.0,0.0,0.0,0.0,,127.0
4.0,0.0,,,,,0.0
4.25,0.0,0.0,0.0,0.0,,55.0
4.5,0.0,,,,,0.0
4.75,0.0,,,,,0.0
5.0,0.0,0.0,0.0,0.0,,60.0
5.25,0.0,,,,,0.0
5.5,0.0,,,,,0.0
5.75,0.0,0.0,0.0,0.0,,125.0
6.0,0.0,,,,,0.0
6.25,0.0,,,,,0.0
6.5,0.0,,,,,0.0
6.75,0.0,,,,,0.0
7.0,0.0,0.0,0.0,0.0,,331.0
7.25,0.0,,,,,0.0
7.5,0.0,0.0,0.0,0.0,,49.0
7.75,0.0,0.0,0.0,0.0,,96.0
8.0,15.781167806417674,11.994213571803991,5.260389268805891,15.781167806417674,,3802.0
8.25,12.391573729863692,12.811028500621275,0.0,18.587360594795538,,3228.0
8.5,9.841551028442082,10.761145556538196,5.90493061706525,15.746481645507332,1.0,10161.0
8.75,3.1887755102040813,15.966517857142357,6.377551020408163,22.32142857142857,0.0026,6272.0
9.0,22.0708790515828,34.35836801614493,30.26863412788498,38.46638920418716,0.0,31716.0
9.25,17.547280171573405,17.75160850068248,11.698186781048939,23.396373562097878,1.0,10258.0
9.5,16.194331983805668,16.986234817814328,13.880855986119144,20.821283979178716,0.7602,17290.0
9.75,20.881186051367717,28.239924827730313,24.013363959072873,32.36583837961996,0.0022,19156.0
10.0,11.55366372757677,15.479173000911338,12.76983885679538,18.242626938279113,0.0081,32890.0
