bin_15min,obs_rate,perm_mean,perm_lo,perm_hi,p_2sided,n_attempts
0.0,0.0,,,,,0.0
0.25,0.0,,,,,0.0
0.5,0.0,,,,,0.0
0.75,0.0,0.0,0.0,0.0,,28.0
1.0,0.0,,,,,0.0
1.25,0.0,0.0,0.0,0.0,,164.0
1.5,0.0,,,,,0.0
1.75,0.0,,,,,0.0
2.0,0.0,,,,,0.0
2.25,0.0,,,,,0.0
2.5,0.0,,,,,0.0
2.75,0.0,,,,,0.0
3.0,0.0,,,,,0.0
3.25,0.0,,,,,0.0
3.5,0.0,0.0,0.0,0.0,,73.0
3.75,0.0,,,,,0.0
4.0,0.0,0.0,0.0,0.0,,70.0
4.25,0.0,,,,,0.0
4.5,0.0,0.0,0.0,0.0,,44.0
4.75,0.0,,,,,0.0
5.0,0.0,0.0,0.0,0.0,,24.0
5.25,0.0,,,,,0.0
5.5,0.0,0.0,0.0,0.0,,47.0
5.75,0.0,,,,,0.0
6.0,0.0,0.0,0.0,0.0,,73.0
6.25,0.0,0.0,0.0,0.0,,40.0
6.5,0.0,0.0,0.0,0.0,,51.0
6.75,0.0,,,,,0.0
7.0,34.72222222222222,25.944444444442365,0.0,34.72222222222222,,144.0
7.25,0.0,,,,,0.0
7.5,0.0,0.0,0.0,0.0,,377.0
7.75,0.0,,,,,0.0
8.0,23.201856148491878,26.127610208818272,23.201856148491878,27.068832173240526,0.2434,1293.0
8.25,14.436958614051973,10.776227141482796,9.624639076034649,14.436958614051973,0.2393,1039.0
8.5,10.630758327427356,11.804275927237532,9.449562957713205,14.17434443656981,0.6535,4233.0
8.75,6.049606775559589,8.097096188748383,6.049606775559589,9.074410163339383,0.3231,1653.0
9.0,15.136226034308779,17.217064693351496,15.696826998542438,18.499831819710728,0.0124,8919.0
9.25,14.160962945480293,17.04330894500847,14.160962945480293,20.06136417276375,0.0876,4237.0
9.5,13.95827211284161,15.759330002939462,13.95827211284161,17.63150161622098,0.1165,6806.0
9.75,15.558467081559122,17.17859482476171,14.73960039305601,19.652800524074678,0.3296,6106.0
10.0,15.234613040828764,20.029920780011864,17.672151127361367,21.937842778793417,0.0,8205.0
10.25,15.86582048957389,19.274780900574218,16.62133575098217,21.909942580840134,0.0254,6618.0
10.5,17.465069860279442,19.613273453095594,16.633399866932802,22.45508982035928,0.1716,6012.0
10.75,12.910798122065728,13.016197183097573,10.56338028169014,15.258215962441314,1.0,4260.0
11.0,25.30844669408415,24.619582410626755,22.14489085732363,27.681113571654542,0.7744,6322.0
11.25,14.545454545454545,20.206060606060653,15.757575757575758,24.242424242424242,0.0173,4125.0
11.5,18.714909544603866,22.622660636306144,18.714909544603866,26.512788521522147,0.0591,6412.0
11.75,26.840490797546014,23.414110429448044,19.171779141104295,28.75766871165644,0.2173,2608.0
12.0,13.802622498274673,12.34972394754915,8.62663906142167,17.25327812284334,0.707,2898.0
12.25,51.38086062941554,42.58060372511514,35.32434168272319,51.38086062941554,0.0579,1557.0
