competitionId,eventId,round_number,local_hour,timezone,roundTypeId,bin_15min
24HorasemSalvador2024,555,2,7.166666666666667,America/Bahia,f,7.0
AlphenTracktoRecords24h2023,555,2,7.166666666666667,Europe/Amsterdam,f,7.0
IIIMasovianOpen2019,333fm,1,7.166666666666667,Europe/Warsaw,f,7.0
WellingtonMindGames2020,333fm,1,7.166666666666667,Pacific/Auckland,f,7.0
ValenzuelaCubingOpen2023,333,1,7.25,Asia/Manila,1,7.25
MindGames2019,333fm,1,7.333333333333333,Pacific/Auckland,f,7.25
LeersumAlgs24Hoursin2024,333,2,7.333333333333333,Europe/Amsterdam,2,7.25
EretumIV2023,444,3,7.416666666666667,Europe/Rome,f,7.25
GulfOfFinland2022,444,1,7.416666666666667,Europe/Helsinki,c,7.25
ParityatCharis2020,333fm,1,7.5,Asia/Singapore,f,7.5
HariologyVibes2022,333,3,7.5,Asia/Kolkata,f,7.5
VIICUBIFMA2022,444,1,7.5,America/Sao_Paulo,c,7.5
AmritaCubeOpen2025,444,1,7.5,Asia/Calcutta,d,7.5
Popayan2024,444,1,7.5,America/Bogota,1,7.5
ValdiNxN2024,666,3,7.5,Europe/Rome,f,7.5
Romanian24hChampionship2024,333,3,7.5,Europe/Bucharest,f,7.5
FariaBrito2023,555,1,7.5,America/Sao_Paulo,c,7.5
VIIICUBIFMA2023,333fm,1,7.5,America/Sao_Paulo,f,7.5
TroisRivieres2021,333fm,1,7.5,America/Toronto,f,7.5
PolishOpen2019,333fm,1,7.5,Europe/Warsaw,f,7.5
EasterinPragueEast2025,666,1,7.5,Europe/Prague,f,7.5
MenloCubingOpen2025,666,1,7.5,Africa/Johannesburg,c,7.5
24HoursWarmUpinAstana2024,333fm,1,7.5,Asia/Almaty,f,7.5
NepaliNationals2019,333fm,1,7.5,Asia/Kathmandu,f,7.5
SoutheastTexasWinter2019,333fm,1,7.5,America/Chicago,f,7.5
AckermanSpring2024,666,1,7.583333333333333,America/Chicago,f,7.5
CuartoAldeillaOpen2024,444,1,7.583333333333333,Europe/Madrid,d,7.5
NubOpenMissionViejo2023,666,1,7.666666666666667,America/Los_Angeles,d,7.5
ClesTooHotForCubing2023,333,2,7.666666666666667,Europe/Rome,f,7.5
GulfofFinland2024,333,2,7.666666666666667,Europe/Helsinki,f,7.5
24HorasemSalvador2024,444,2,7.666666666666667,America/Bahia,f,7.5
KostelecNonstopCubing2023,444,2,7.75,Europe/Prague,e,7.75
NewEnglandChampionship2023,333fm,1,7.75,America/New_York,f,7.75
CubingatthePeakAZ2025,333fm,1,7.75,America/Phoenix,f,7.75
AlabamaChampionship2024,333fm,1,7.75,America/Chicago,f,7.75
ColoradoQualifier2019,333fm,1,7.75,America/Denver,f,7.75
SoutheastChampionship2019,333fm,1,7.75,America/New_York,f,7.75
WestSeattleFavorites2019,333fm,1,7.75,America/Los_Angeles,f,7.75
EretumIV2023,333,3,7.75,Europe/Rome,f,7.75
PyraminxontheStars2024,555,1,7.75,Europe/Tallinn,c,7.75
FallBozeman2024,333,1,7.75,America/Denver,d,7.75
AroundtheClockIsrael2024,444,2,7.75,Asia/Jerusalem,f,7.75
WellingtonWinter2025,555,1,7.75,Pacific/Auckland,c,7.75
PuebloPuzzling2025,333fm,1,7.75,America/Denver,f,7.75
RondonCube2024,333,1,7.833333333333333,America/Cuiaba,1,7.75
PiticOpen2020,333fm,1,7.833333333333333,America/Hermosillo,f,7.75
GulfOfFinland2022,333,2,7.916666666666667,Europe/Helsinki,f,7.75
ElCarmendeViboralII2023,555,1,8.0,America/Bogota,c,8.0
SalemCubeTrials2019,333fm,1,8.0,America/New_York,f,8.0
CentroSubBogotaIII2024,333,1,8.0,America/Bogota,1,8.0
CentroSubaBogotaII2024,444,1,8.0,America/Bogota,d,8.0
CubingwiththeViking2020,333,1,8.0,America/New_York,1,8.0
NacionalesElSalvador2019,333,1,8.0,America/El_Salvador,1,8.0
NacionalesElSalvador2019,666,1,8.0,America/El_Salvador,c,8.0
OpawaOpen2022,333fm,1,8.0,Pacific/Auckland,f,8.0
BoiseOneHandedBlitz2025,333fm,1,8.0,America/Boise,f,8.0
CerradoOpen2022,333fm,1,8.0,America/Sao_Paulo,f,8.0
MeridianoMosquera2024,555,1,8.0,America/Bogota,d,8.0
MinnesotaCubeMelt2023,444,1,8.0,America/Chicago,c,8.0
UlaanbaatarNomadMazaalai2025,333,1,8.0,Asia/Ulaanbaatar,1,8.0
UnicentroPereira2023,444,1,8.0,America/Bogota,c,8.0
PlazaMaderoChia42025,555,1,8.0,America/Bogota,d,8.0
CapeCubesWinter2025,333fm,1,8.0,Africa/Johannesburg,f,8.0
CubeAgainstCancerEdmond2025,666,1,8.0,America/Chicago,d,8.0
CerradoOpen2023,333fm,1,8.0,America/Sao_Paulo,f,8.0
LaEstrellaBigCubes2023,555,1,8.0,America/Bogota,d,8.0
15AnosSanSilvestre2024,444,1,8.0,America/Bogota,d,8.0
Choconta2023,444,1,8.0,America/Bogota,c,8.0
UtahValleyOpen2019,555,1,8.0,America/Phoenix,d,8.0
24HorasemSalvador2024,333,3,8.0,America/Bahia,f,8.0
BarrancabermejaOpen2023,444,1,8.0,America/Bogota,d,8.0
BarrancabermejaXmas2023,444,1,8.0,America/Bogota,c,8.0
MississippiChampionship2025,333fm,1,8.0,America/Chicago,f,8.0
LaTablazaOpen2022,444,1,8.0,America/Bogota,d,8.0
AZCubingWinter2019,444,1,8.0,America/Phoenix,c,8.0
AZCubingSummer2022,444,1,8.0,America/Phoenix,c,8.0
TwistyTaranaki2022,555,1,8.0,Pacific/Auckland,d,8.0
TwistyTaranaki2021,555,1,8.0,Pacific/Auckland,d,8.0
NoShoesKentucky2019,333fm,1,8.0,America/New_York,1,8.0
NoShoesKentucky2019,333fm,3,8.0,America/New_York,f,8.0
TexasChampionship2022,333,1,8.0,America/Chicago,d,8.0
DFWEclipseCubing2024,666,1,8.0,America/Chicago,d,8.0
PSLevelsUDBogota2025,444,1,8.0,America/Bogota,d,8.0
BUWinter2019,444,1,8.0,America/New_York,d,8.0
ElPuenteSanGil2023,444,1,8.0,America/Bogota,d,8.0
EveryEventEire2019,333fm,1,8.0,Europe/Dublin,f,8.0
DFWCubingWinter2023,444,1,8.0,America/Chicago,d,8.0
PSTRzeszow2019,333,1,8.0,Europe/Warsaw,1,8.0
PSTNowaSlupia2019,333fm,1,8.0,Europe/Warsaw,f,8.0
MasterCubeSalvador2023,333,1,8.0,America/Bahia,1,8.0
CampeonatoCerrado2024,333fm,1,8.0,America/Bahia,f,8.0
BogotaChampionship2019,333fm,1,8.0,America/Bogota,f,8.0
BodocoOpen2023,444,1,8.0,America/Recife,c,8.0
SanGilPlaza2023,444,1,8.0,America/Bogota,c,8.0
UBCubingChallengeDec2023,333,1,8.0,Asia/Ulaanbaatar,f,8.0
UnicentroPereira2024,444,1,8.0,America/Bogota,c,8.0
UBCubingChallengeJan2024,333,1,8.0,Asia/Ulaanbaatar,f,8.0
CzluchowPanzerCube2014,333fm,1,8.0,Europe/Warsaw,f,8.0
LytteltonNewcomerRumble2024,444,1,8.0,Pacific/Auckland,c,8.0
PuertaVictoria2024,333,1,8.0,America/Mexico_City,1,8.0
BCMAryaCubingChallenge2022,333,1,8.0,Asia/Kolkata,1,8.0
PennsylvaniaChampionship2024,333,2,8.0,America/New_York,2,8.0
CentroMayor2024,444,1,8.0,America/Bogota,c,8.0
CentroComercialBogotaII2024,555,1,8.0,America/Bogota,d,8.0
BoraBoraBarraOpen2023,333fm,1,8.0,America/Fortaleza,f,8.0
SunCityOpen2019,333fm,1,8.0,America/Bahia,f,8.0
TenjoOpen2024,555,1,8.0,America/Bogota,1,8.0
LLSIIIZamosc2021,444,1,8.0,Europe/Warsaw,d,8.0
XelaOpen2019,555,1,8.0,America/Guatemala,d,8.0
PSTCFLCzestochowa2019,333fm,1,8.0,Europe/Warsaw,f,8.0
EvanstonSummerBigCubes2023,666,1,8.0,America/Chicago,c,8.0
