bin_15min,obs_rate,perm_mean,perm_lo,perm_hi,p_2sided,n_attempts
0.0,0.0,,,,,0.0
0.25,0.0,,,,,0.0
0.5,0.0,0.0,0.0,0.0,,209.0
0.75,0.0,,,,,0.0
1.0,0.0,,,,,0.0
1.25,0.0,0.0,0.0,0.0,,155.0
1.5,0.0,,,,,0.0
1.75,0.0,,,,,0.0
2.0,0.0,,,,,0.0
2.25,0.0,,,,,0.0
2.5,0.0,,,,,0.0
2.75,0.0,,,,,0.0
3.0,0.0,0.0,0.0,0.0,,136.0
3.25,0.0,0.0,0.0,0.0,,30.0
3.5,0.0,,,,,0.0
3.75,0.0,,,,,0.0
4.0,0.0,0.0,0.0,0.0,,657.0
4.25,0.0,,,,,0.0
4.5,0.0,0.0,0.0,0.0,,148.0
4.75,0.0,0.0,0.0,0.0,,120.0
5.0,0.0,0.0,0.0,0.0,,204.0
5.25,0.0,,,,,0.0
5.5,0.0,,,,,0.0
5.75,0.0,0.0,0.0,0.0,,94.0
6.0,0.0,,,,,0.0
6.25,0.0,,,,,0.0
6.5,0.0,0.0,0.0,0.0,,125.0
6.75,0.0,0.0,0.0,0.0,,60.0
7.0,0.0,19.209431345353693,0.0,69.34812760055479,,721.0
7.25,0.0,0.0,0.0,0.0,,127.0
7.5,0.0,0.0,0.0,0.0,,397.0
7.75,0.0,0.0,0.0,0.0,,216.0
8.0,15.24235341936795,12.113606340820004,10.1615689462453,15.24235341936795,0.3842,9841.0
8.25,0.0,0.0,0.0,0.0,,4261.0
8.5,23.49955350848334,36.56648023687405,25.849508859331674,46.99910701696668,0.0093,21277.0
8.75,13.323858589447504,21.347486232012283,8.882572392965002,31.08900337537751,0.2526,11258.0
9.0,20.857750144017796,21.369360958265755,16.884845354681072,25.8238811306887,0.8363,50341.0
9.25,5.819028222286878,16.98894384637605,8.728542333430317,26.18562700029095,0.0164,17185.0
9.5,19.418732604052042,30.32817658100714,22.655188038060718,37.21923749109975,0.0032,30898.0
9.75,27.844811583441622,34.473887754470326,27.844811583441622,41.767217375162424,0.0711,32322.0
10.0,24.169067460701097,33.57673195537763,28.03611825441327,39.6372706355498,0.0016,51719.0
10.25,19.206760779794486,23.33789493901801,18.00633823105733,28.81014116969173,0.2213,41652.0
10.5,18.51109122882794,22.242618702372937,17.739795760960106,26.224045907506248,0.1022,64826.0
10.75,15.70986130436734,29.233919834822277,23.564791956551012,34.78612145967054,0.0,44558.0
11.0,26.26293835933879,35.21365672794796,29.352695813378652,40.93928626602812,0.003,64730.0
11.25,24.472814781580126,28.91248929314869,23.453114165680955,34.66982094057185,0.1369,49034.0
11.5,36.69833964809268,39.00478070262404,31.73910456051259,45.62496280573684,0.5781,50411.0
11.75,51.1867748540229,44.273337377721205,34.1245165693486,54.97838780617275,0.2013,26374.0
12.0,42.79412732898808,41.67851734808092,32.91855948383699,51.02376719994733,0.8604,30378.0
12.25,23.029535379123725,28.961943692786644,20.15084345673326,40.30168691346652,0.2897,17369.0
