competitionId,roundTypeId,n_competitors,n_attempts,n_single_rec,n_avg_rec,n_wr_single,n_wr_avg,n_cr_single,n_cr_avg,n_nr_single,n_nr_avg,eventId,n_records,n_wr,n_cr,n_nr,local_hour,bin_15min,timezone,countryId,year,is_final,round_stage,round_name,era
100YearsRepublicAnkara2023,f,9,43,0,0,0,0,0,0,0,0,555,0,0,0,0,12.75,12.75,Europe/Istanbul,Turkey,2023,True,Final,Final,2023-2026
100YearsRepublicIstanbul2023,c,10,38,0,0,0,0,0,0,0,0,555,0,0,0,0,10.75,10.75,Europe/Istanbul,Turkey,2023,True,Final,Final,2023-2026
100YilMBACubeWeekend2023,c,11,43,0,0,0,0,0,0,0,0,555,0,0,0,0,10.5,10.5,Europe/Istanbul,Turkey,2023,True,Final,Final,2023-2026
10doRioGrandedoNorte2018,c,8,34,0,0,0,0,0,0,0,0,555,0,0,0,0,14.666666666666666,14.5,America/Recife,Brazil,2018,True,Final,Final,2016-2018
10thAnniversaryCervantes2024,c,15,75,0,0,0,0,0,0,0,0,555,0,0,0,0,11.0,11.0,America/Montevideo,Uruguay,2024,True,Final,Final,2023-2026
150thCubeMeetinginBrest2017,c,15,51,1,0,0,0,0,0,1,0,555,1,0,0,1,,,,Belarus,2017,True,Final,Final,2016-2018
1AVG2013,1,19,95,0,0,0,0,0,0,0,0,555,0,0,0,0,,,,Netherlands,2013,False,Early,First round,2011-2015
1AVG2013,f,13,65,2,1,0,0,0,0,2,1,555,3,0,0,3,,,,Netherlands,2013,True,Final,Final,2011-2015
1aLordagskubeniVasteras2024,f,17,75,0,0,0,0,0,0,0,0,555,0,0,0,0,13.0,13.0,Europe/Stockholm,Sweden,2024,True,Final,Final,2023-2026
1stDibrugarhOpen2018,c,7,35,0,0,0,0,0,0,0,0,555,0,0,0,0,14.25,14.25,Asia/Kolkata,India,2018,True,Final,Final,2016-2018
1stJorhatOpen2019,c,6,27,0,0,0,0,0,0,0,0,555,0,0,0,0,11.75,11.75,Asia/Kolkata,India,2019,True,Final,Final,2019-2022
1stSriLankanOpen2022,c,12,60,1,1,0,0,0,0,1,1,555,2,0,0,2,12.5,12.5,Asia/Colombo,Sri Lanka,2022,True,Final,Final,2019-2022
24HorasElTambo2024,f,5,25,0,0,0,0,0,0,0,0,555,0,0,0,0,18.33333333333333,18.25,America/Guayaquil,Ecuador,2024,True,Final,Final,2023-2026
24HorasemSalvador2024,1,14,67,0,0,0,0,0,0,0,0,555,0,0,0,0,1.9166666666666663,1.75,America/Bahia,Brazil,2024,False,Early,First round,2023-2026
24HorasemSalvador2024,f,6,30,0,0,0,0,0,0,0,0,555,0,0,0,0,7.166666666666667,7.0,America/Bahia,Brazil,2024,True,Final,Final,2023-2026
24HoursWarmUpinAstana2024,c,15,63,0,0,0,0,0,0,0,0,555,0,0,0,0,0.8333333333333334,0.75,Asia/Almaty,Kazakhstan,2024,True,Final,Final,2023-2026
24HoursinAker2024,d,30,128,0,0,0,0,0,0,0,0,555,0,0,0,0,9.0,9.0,Europe/Stockholm,Sweden,2024,False,Early,First round,2023-2026
24HoursinAker2024,f,21,105,0,0,0,0,0,0,0,0,555,0,0,0,0,10.666666666666666,10.5,Europe/Stockholm,Sweden,2024,True,Final,Final,2023-2026
24HoursinFlen2023,d,19,89,0,0,0,0,0,0,0,0,555,0,0,0,0,2.333333333333333,2.25,Europe/Stockholm,Sweden,2023,False,Early,First round,2023-2026
24HoursinFlen2023,f,14,70,0,0,0,0,0,0,0,0,555,0,0,0,0,3.6666666666666665,3.5,Europe/Stockholm,Sweden,2023,True,Final,Final,2023-2026
2AVG2014,1,23,107,0,0,0,0,0,0,0,0,555,0,0,0,0,,,,Netherlands,2014,False,Early,First round,2011-2015
2AVG2014,f,16,80,0,0,0,0,0,0,0,0,555,0,0,0,0,,,,Netherlands,2014,True,Final,Final,2011-2015
2aLordagskubeniVasteras2024,f,13,55,0,0,0,0,0,0,0,0,555,0,0,0,0,13.166666666666666,13.0,Europe/Stockholm,Sweden,2024,True,Final,Final,2023-2026
2ndJogjaMiniCompetition2015,c,8,31,0,0,0,0,0,0,0,0,555,0,0,0,0,,,,Indonesia,2015,True,Final,Final,2011-2015
2ndNegrosSpeedcubingOpen2017,1,12,60,0,0,0,0,0,0,0,0,555,0,0,0,0,,,,Philippines,2017,False,Early,First round,2016-2018
2ndNegrosSpeedcubingOpen2017,f,6,30,0,0,0,0,0,0,0,0,555,0,0,0,0,,,,Philippines,2017,True,Final,Final,2016-2018
2x2at2inPrague2024,c,12,60,0,0,0,0,0,0,0,0,555,0,0,0,0,5.0,5.0,Europe/Prague,Czech Republic,2024,True,Final,Final,2023-2026
2x2at2inPrague2024,d,43,179,0,0,0,0,0,0,0,0,555,0,0,0,0,3.1666666666666665,3.0,Europe/Prague,Czech Republic,2024,False,Early,First round,2023-2026
2x2inTamakiMakaurau2025,d,35,141,0,0,0,0,0,0,0,0,555,0,0,0,0,12.5,12.5,Pacific/Auckland,New Zealand,2025,False,Early,First round,2023-2026
2x2inTamakiMakaurau2025,f,8,40,1,0,0,0,0,0,1,0,555,1,0,0,1,16.833333333333332,16.75,Pacific/Auckland,New Zealand,2025,True,Final,Final,2023-2026
2x2inaMadisonLodge2022,c,43,165,0,0,0,0,0,0,0,0,555,0,0,0,0,14.833333333333334,14.75,America/Chicago,USA,2022,True,Final,Final,2019-2022
30thAnniversaryMegaHouse2010,1,21,105,1,0,0,0,0,0,1,0,555,1,0,0,1,,,,Japan,2010,False,Early,First round,
30thAnniversaryMegaHouse2010,f,12,60,1,1,1,0,0,0,0,1,555,2,1,0,1,,,,Japan,2010,True,Final,Final,
33TrentiniATrento2025,d,29,124,0,0,0,0,0,0,0,0,555,0,0,0,0,,,,Italy,2025,False,Early,First round,2023-2026
33TrentiniATrento2025,f,21,105,0,1,0,0,0,0,0,1,555,1,0,0,1,,,,Italy,2025,True,Final,Final,2023-2026
345CubeDayAllen2019,d,22,95,0,0,0,0,0,0,0,0,555,0,0,0,0,14.0,14.0,America/Chicago,USA,2019,False,Early,First round,2019-2022
345CubeDayAllen2019,f,8,40,0,0,0,0,0,0,0,0,555,0,0,0,0,17.0,17.0,America/Chicago,USA,2019,True,Final,Final,2019-2022
360DegreeWellnessOpen2014,c,15,63,0,0,0,0,0,0,0,0,555,0,0,0,0,,,,Philippines,2014,True,Final,Final,2011-2015
360DegreesWellnessOpen2015,c,16,71,0,0,0,0,0,0,0,0,555,0,0,0,0,,,,Philippines,2015,True,Final,Final,2011-2015
3MolaOpen2010,c,12,41,0,0,0,0,0,0,0,0,555,0,0,0,0,,,,Poland,2010,True,Final,Final,
3MolaOpen2011,c,16,51,0,0,0,0,0,0,0,0,555,0,0,0,0,,,,Poland,2011,True,Final,Final,2011-2015
3eLordagskubeniVasteras2024,f,14,65,0,0,0,0,0,0,0,0,555,0,0,0,0,13.166666666666666,13.0,Europe/Stockholm,Sweden,2024,True,Final,Final,2023-2026
3rdCoastCubing2019,c,33,102,0,0,0,0,0,0,0,0,555,0,0,0,0,9.0,9.0,America/New_York,USA,2019,True,Final,Final,2019-2022
3rdGuwahatiOpen2017,c,8,34,0,0,0,0,0,0,0,0,555,0,0,0,0,,,,India,2017,True,Final,Final,2016-2018
444Puebla2025,c,48,219,0,0,0,0,0,0,0,0,555,0,0,0,0,10.25,10.25,America/Mexico_City,Mexico,2025,True,Final,Final,2023-2026
4thGuwahatiOpen2018,c,4,20,0,0,0,0,0,0,0,0,555,0,0,0,0,,,,India,2018,True,Final,Final,2016-2018
4x4byFourMadisonLakes2024,c,50,217,0,0,0,0,0,0,0,0,555,0,0,0,0,16.0,16.0,America/Chicago,USA,2024,True,Final,Final,2023-2026
4x4byRoad44Israel2024,d,34,164,0,0,0,0,0,0,0,0,555,0,0,0,0,,,,Israel,2024,False,Early,First round,2023-2026
4x4byRoad44Israel2024,f,16,80,0,0,0,0,0,0,0,0,555,0,0,0,0,,,,Israel,2024,True,Final,Final,2023-2026
50YearsofCubingBulgaria2024,c,12,57,0,0,0,0,0,0,0,0,555,0,0,0,0,8.25,8.25,Europe/Sofia,Bulgaria,2024,True,Final,Final,2023-2026
50YearsofCubingBulgaria2024,d,24,105,1,0,0,0,0,0,1,0,555,1,0,0,1,9.0,9.0,Europe/Sofia,Bulgaria,2024,False,Early,First round,2023-2026
50thAnniversaryinElverum2024,1,14,65,0,0,0,0,0,0,0,0,555,0,0,0,0,10.0,10.0,Europe/Amsterdam,Norway,2024,False,Early,First round,2023-2026
50thAnniversaryinElverum2024,f,8,36,1,0,0,0,0,0,1,0,555,1,0,0,1,17.833333333333332,17.75,Europe/Amsterdam,Norway,2024,True,Final,Final,2023-2026
5BLDMastersOpole2025,d,26,106,0,0,0,0,0,0,0,0,555,0,0,0,0,,,,Poland,2025,False,Early,First round,2023-2026
5BLDMastersOpole2025,f,8,40,0,0,0,0,0,0,0,0,555,0,0,0,0,,,,Poland,2025,True,Final,Final,2023-2026
5thGuwahatiOpen2019,c,6,30,0,0,0,0,0,0,0,0,555,0,0,0,0,14.0,14.0,Asia/Kolkata,India,2019,True,Final,Final,2019-2022
5x5onMadisonIce2023,2,24,120,0,0,0,0,0,0,0,0,555,0,0,0,0,,,,USA,2023,False,Early,Second round,2023-2026
5x5onMadisonIce2023,d,32,154,0,0,0,0,0,0,0,0,555,0,0,0,0,,,,USA,2023,False,Early,First round,2023-2026
5x5onMadisonIce2023,f,12,58,0,0,0,0,0,0,0,0,555,0,0,0,0,,,,USA,2023,True,Final,Final,2023-2026
625BayArea2017,c,46,194,0,0,0,0,0,0,0,0,555,0,0,0,0,,,,USA,2017,True,Final,Final,2016-2018
6SidesofSilesia2017,2,11,55,0,0,0,0,0,0,0,0,555,0,0,0,0,,,,Poland,2017,False,Early,Second round,2016-2018
6SidesofSilesia2017,d,20,85,0,0,0,0,0,0,0,0,555,0,0,0,0,,,,Poland,2017,False,Early,First round,2016-2018
6SidesofSilesia2017,f,8,40,0,0,0,0,0,0,0,0,555,0,0,0,0,,,,Poland,2017,True,Final,Final,2016-2018
6thGuwahatiOpen2024,d,8,40,0,0,0,0,0,0,0,0,555,0,0,0,0,9.5,9.5,Asia/Kolkata,India,2024,False,Early,First round,2023-2026
6thGuwahatiOpen2024,f,6,30,0,0,0,0,0,0,0,0,555,0,0,0,0,15.0,15.0,Asia/Kolkata,India,2024,True,Final,Final,2023-2026
6x6StillinaMadisonPark2024,d,28,131,0,0,0,0,0,0,0,0,555,0,0,0,0,13.0,13.0,America/Chicago,USA,2024,False,Early,First round,2023-2026
6x6StillinaMadisonPark2024,f,12,60,0,0,0,0,0,0,0,0,555,0,0,0,0,16.75,16.75,America/Chicago,USA,2024,True,Final,Final,2023-2026
70AnosFatimaMontevideo2025,c,9,42,0,0,0,0,0,0,0,0,555,0,0,0,0,9.5,9.5,America/Montevideo,Uruguay,2025,True,Final,Final,2023-2026
ABCOpen2010,c,9,33,0,1,0,0,0,0,0,1,555,1,0,0,1,,,,Brazil,2010,True,Final,Final,
ABHC2016,2,23,115,0,0,0,0,0,0,0,0,555,0,0,0,0,,,,United Kingdom,2016,False,Early,Second round,2016-2018
ABHC2016,d,35,136,0,0,0,0,0,0,0,0,555,0,0,0,0,,,,United Kingdom,2016,False,Early,First round,2016-2018
ABHC2016,f,8,40,0,0,0,0,0,0,0,0,555,0,0,0,0,,,,United Kingdom,2016,True,Final,Final,2016-2018
ABHC2017,d,53,223,0,0,0,0,0,0,0,0,555,0,0,0,0,,,,United Kingdom,2017,False,Early,First round,2016-2018
ABHC2017,f,24,120,0,0,0,0,0,0,0,0,555,0,0,0,0,,,,United Kingdom,2017,True,Final,Final,2016-2018
ABHC2018,d,82,370,0,0,0,0,0,0,0,0,555,0,0,0,0,,,,United Kingdom,2018,False,Early,First round,2016-2018
ABHC2018,f,40,200,0,0,0,0,0,0,0,0,555,0,0,0,0,,,,United Kingdom,2018,True,Final,Final,2016-2018
