competitionId,roundTypeId,n_competitors,n_attempts,n_single_rec,n_avg_rec,n_wr_single,n_wr_avg,n_cr_single,n_cr_avg,n_nr_single,n_nr_avg,eventId,n_records,n_wr,n_cr,n_nr,local_hour,bin_15min,timezone,countryId,year,is_final,round_stage,round_name,era
EncantoSoacha2024,1,9,27,0,0,0,0,0,0,0,0,666,0,0,0,0,10.75,10.75,America/Bogota,Colombia,2024,False,Early,First round,2023-2026
EncantoSoacha2024,f,6,18,0,0,0,0,0,0,0,0,666,0,0,0,0,16.75,16.75,America/Bogota,Colombia,2024,True,Final,Final,2023-2026
EncantoSoachaII2024,1,12,36,0,0,0,0,0,0,0,0,666,0,0,0,0,9.833333333333334,9.75,America/Bogota,Colombia,2024,False,Early,First round,2023-2026
EncantoSoachaII2024,f,9,27,0,0,0,0,0,0,0,0,666,0,0,0,0,16.833333333333332,16.75,America/Bogota,Colombia,2024,True,Final,Final,2023-2026
EnergyCubeBialoleka2025,c,75,163,0,1,0,0,0,1,0,0,666,1,0,1,0,13.0,13.0,Europe/Warsaw,Poland,2025,True,Final,Final,2023-2026
EnjoyableSydneyGathering2020,d,30,74,0,0,0,0,0,0,0,0,666,0,0,0,0,14.75,14.75,Australia/Sydney,Australia,2020,False,Early,First round,2019-2022
EnjoyableSydneyGathering2020,f,8,24,0,0,0,0,0,0,0,0,666,0,0,0,0,15.5,15.5,Australia/Sydney,Australia,2020,True,Final,Final,2019-2022
EretumEasyPeasyEdition2023,c,18,46,0,0,0,0,0,0,0,0,666,0,0,0,0,14.833333333333334,14.75,Europe/Rome,Italy,2023,True,Final,Final,2023-2026
EretumI2025,c,16,33,0,0,0,0,0,0,0,0,666,0,0,0,0,10.5,10.5,Europe/Rome,Italy,2025,True,Final,Final,2023-2026
EretumIIIMentalEdition2024,c,8,22,0,0,0,0,0,0,0,0,666,0,0,0,0,,,,Italy,2024,True,Final,Final,2023-2026
EretumIIIMentalEdition2024,d,12,32,0,0,0,0,0,0,0,0,666,0,0,0,0,,,,Italy,2024,False,Early,First round,2023-2026
EretumIV2023,c,14,40,0,0,0,0,0,0,0,0,666,0,0,0,0,6.333333333333333,6.25,Europe/Rome,Italy,2023,True,Final,Final,2023-2026
EretumIV2023,d,25,69,0,0,0,0,0,0,0,0,666,0,0,0,0,1.3333333333333333,1.25,Europe/Rome,Italy,2023,False,Early,First round,2023-2026
EretumOpen2017,c,10,20,0,0,0,0,0,0,0,0,666,0,0,0,0,,,,Italy,2017,True,Final,Final,2016-2018
EretumVIIFarewell2023,c,12,30,0,0,0,0,0,0,0,0,666,0,0,0,0,16.416666666666668,16.25,Europe/Rome,Italy,2023,True,Final,Final,2023-2026
EretumVIIFarewell2023,d,16,36,0,0,0,0,0,0,0,0,666,0,0,0,0,10.916666666666666,10.75,Europe/Rome,Italy,2023,False,Early,First round,2023-2026
ErfurtOpen2013,c,9,19,0,0,0,0,0,0,0,0,666,0,0,0,0,,,,Germany,2013,True,Final,Final,2011-2015
ErfurtOpen2014,c,17,37,1,0,0,0,0,0,1,0,666,1,0,0,1,,,,Germany,2014,True,Final,Final,2011-2015
ErfurtOpen2015,c,22,50,0,1,0,0,0,0,0,1,666,1,0,0,1,,,,Germany,2015,True,Final,Final,2011-2015
ErlangenOpen2025,f,25,75,0,0,0,0,0,0,0,0,666,0,0,0,0,,,,Germany,2025,True,Final,Final,2023-2026
Eskala2022,c,14,40,1,0,0,0,0,0,1,0,666,1,0,0,1,14.75,14.75,America/Guatemala,Guatemala,2022,True,Final,Final,2019-2022
EskisehirSpring2019,f,8,17,2,2,0,0,0,0,2,2,666,4,0,0,4,16.333333333333332,16.25,Europe/Istanbul,Turkey,2019,True,Final,Final,2019-2022
EspritCubeOpenBayonne2022,f,9,27,1,1,0,0,0,0,1,1,666,2,0,0,2,10.25,10.25,Europe/Paris,France,2022,True,Final,Final,2019-2022
EssenOpen2009,1,13,36,0,0,0,0,0,0,0,0,666,0,0,0,0,,,,Germany,2009,False,Early,First round,
EssenOpen2009,f,4,12,0,0,0,0,0,0,0,0,666,0,0,0,0,,,,Germany,2009,True,Final,Final,
EssexSpring2023,c,36,76,1,1,0,0,0,0,1,1,666,2,0,0,2,11.083333333333334,11.0,Europe/London,United Kingdom,2023,True,Final,Final,2023-2026
EstellaLizarraOpen2025,d,13,29,0,0,0,0,0,0,0,0,666,0,0,0,0,16.333333333333332,16.25,Europe/Madrid,Spain,2025,False,Early,First round,2023-2026
EstellaLizarraOpen2025,f,6,18,0,0,0,0,0,0,0,0,666,0,0,0,0,12.333333333333334,12.25,Europe/Madrid,Spain,2025,True,Final,Final,2023-2026
EstonianChampionship2024,c,14,38,0,0,0,0,0,0,0,0,666,0,0,0,0,18.0,18.0,Europe/Helsinki,Estonia,2024,True,Final,Final,2023-2026
EstonianChampionship2025,c,9,23,0,0,0,0,0,0,0,0,666,0,0,0,0,16.916666666666668,16.75,Europe/Tallinn,Estonia,2025,True,Final,Final,2023-2026
EstonianOpen2010,f,3,9,2,2,0,0,0,0,2,2,666,4,0,0,4,,,,Estonia,2010,True,Final,Final,
EstonianOpen2015,f,3,9,2,1,0,0,0,0,2,1,666,3,0,0,3,,,,Estonia,2015,True,Final,Final,2011-2015
EtecCubatao2022,c,18,52,0,0,0,0,0,0,0,0,666,0,0,0,0,10.5,10.5,America/Bahia,Brazil,2022,True,Final,Final,2019-2022
EtnaOpen2018,d,16,40,0,0,0,0,0,0,0,0,666,0,0,0,0,,,,Italy,2018,False,Early,First round,2016-2018
EtnaOpen2018,f,6,18,0,0,0,0,0,0,0,0,666,0,0,0,0,,,,Italy,2018,True,Final,Final,2016-2018
EtnaOpen2019,d,23,55,0,0,0,0,0,0,0,0,666,0,0,0,0,12.166666666666666,12.0,Europe/Rome,Italy,2019,False,Early,First round,2019-2022
EtnaOpen2019,f,8,24,0,0,0,0,0,0,0,0,666,0,0,0,0,17.5,17.5,Europe/Rome,Italy,2019,True,Final,Final,2019-2022
EugeneSpring2018,c,17,45,0,0,0,0,0,0,0,0,666,0,0,0,0,,,,USA,2018,True,Final,Final,2016-2018
Euro2010,c,35,73,2,2,0,0,0,0,2,2,666,4,0,0,4,,,,Hungary,2010,True,Final,Final,
Euro2012,c,45,104,6,7,0,0,0,0,6,7,666,13,0,0,13,,,,Poland,2012,True,Final,Final,2011-2015
Euro2014,d,60,132,1,3,0,0,0,2,1,1,666,4,0,2,2,,,,Denmark,2014,False,Early,First round,2011-2015
Euro2014,f,12,36,0,2,0,0,0,1,0,1,666,2,0,1,1,,,,Denmark,2014,True,Final,Final,2011-2015
Euro2016,d,108,259,4,6,0,0,0,1,4,5,666,10,0,1,9,,,,Czech Republic,2016,False,Early,First round,2016-2018
Euro2016,f,15,45,3,2,0,1,1,0,2,1,666,5,1,1,3,,,,Czech Republic,2016,True,Final,Final,2016-2018
Euro2018,1,122,365,6,8,0,0,1,2,5,6,666,14,0,3,11,,,,Spain,2018,False,Early,First round,2016-2018
Euro2018,f,20,60,2,3,0,0,0,0,2,3,666,5,0,0,5,,,,Spain,2018,True,Final,Final,2016-2018
Euro2022,d,164,432,3,4,0,0,0,0,3,4,666,7,0,0,7,14.25,14.25,Europe/Copenhagen,Denmark,2022,False,Early,First round,2019-2022
Euro2022,f,20,60,2,2,0,0,0,0,2,2,666,4,0,0,4,17.5,17.5,Europe/Copenhagen,Denmark,2022,True,Final,Final,2019-2022
Euro2024,d,277,767,6,4,0,0,1,1,5,3,666,10,0,2,8,15.166666666666666,15.0,Europe/Madrid,Spain,2024,False,Early,First round,2023-2026
Euro2024,f,20,60,2,2,0,0,1,1,1,1,666,4,0,2,2,17.583333333333332,17.5,Europe/Madrid,Spain,2024,True,Final,Final,2023-2026
EuskadiOpenPortugalete2018,c,18,44,0,0,0,0,0,0,0,0,666,0,0,0,0,,,,Spain,2018,True,Final,Final,2016-2018
EvanstonQualifier2025,1,21,62,0,0,0,0,0,0,0,0,666,0,0,0,0,,,,USA,2025,False,Early,First round,2023-2026
EvanstonQualifier2025,f,10,30,0,0,0,0,0,0,0,0,666,0,0,0,0,,,,USA,2025,True,Final,Final,2023-2026
EvanstonSummerBigCubes2023,c,21,53,0,0,0,0,0,0,0,0,666,0,0,0,0,8.0,8.0,America/Chicago,USA,2023,True,Final,Final,2023-2026
EvenBetterSydneyGathering2022,c,27,51,0,0,0,0,0,0,0,0,666,0,0,0,0,,,,Australia,2022,True,Final,Final,2019-2022
EvenDayinBacolod2022,f,6,18,1,1,0,0,0,0,1,1,666,2,0,0,2,14.333333333333334,14.25,Asia/Manila,Philippines,2022,True,Final,Final,2019-2022
EveryEventEire2019,d,25,55,0,0,0,0,0,0,0,0,666,0,0,0,0,17.166666666666668,17.0,Europe/Dublin,Ireland,2019,False,Early,First round,2019-2022
EveryEventEire2019,f,6,18,1,1,0,0,1,1,0,0,666,2,0,2,0,18.5,18.5,Europe/Dublin,Ireland,2019,True,Final,Final,2019-2022
EverythinginEvanstonA2023,f,15,43,0,0,0,0,0,0,0,0,666,0,0,0,0,12.25,12.25,America/Chicago,USA,2023,True,Final,Final,2023-2026
EverythinginEvanstonB2023,f,14,38,0,0,0,0,0,0,0,0,666,0,0,0,0,12.25,12.25,America/Chicago,USA,2023,True,Final,Final,2023-2026
EverythingsBiggerinTexas2016,f,5,15,0,0,0,0,0,0,0,0,666,0,0,0,0,,,,USA,2016,True,Final,Final,2016-2018
EverythingsBiggerinTexas2019,1,23,68,0,0,0,0,0,0,0,0,666,0,0,0,0,,,,USA,2019,False,Early,First round,2019-2022
EverythingsBiggerinTexas2019,2,17,51,0,0,0,0,0,0,0,0,666,0,0,0,0,,,,USA,2019,False,Early,Second round,2019-2022
EverythingsBiggerinTexas2019,f,6,18,0,0,0,0,0,0,0,0,666,0,0,0,0,,,,USA,2019,True,Final,Final,2019-2022
ExeterOpen2016,c,15,39,1,0,0,0,0,0,1,0,666,1,0,0,1,,,,United Kingdom,2016,True,Final,Final,2016-2018
ExeterSummer2023,c,12,34,0,0,0,0,0,0,0,0,666,0,0,0,0,16.666666666666668,16.5,Europe/London,United Kingdom,2023,True,Final,Final,2023-2026
ExeterSummer2023,d,25,47,0,0,0,0,0,0,0,0,666,0,0,0,0,14.083333333333334,14.0,Europe/London,United Kingdom,2023,False,Early,First round,2023-2026
ExtraRiseOpen2017,c,14,28,0,0,0,0,0,0,0,0,666,0,0,0,0,,,,Philippines,2017,True,Final,Final,2016-2018
EyesOpenOpenOtautahi2025,f,13,36,0,0,0,0,0,0,0,0,666,0,0,0,0,13.75,13.75,Pacific/Auckland,New Zealand,2025,True,Final,Final,2023-2026
