predictor,coef,se,z,p_value,IRR,IRR_lo95,IRR_hi95
Intercept,-8.303116360790712,0.3522443211405808,-23.57203753890169,7.462163321142829e-123,0.00024774356452053283,0.00012421426450348572,0.0004941209772217187
sin1,-0.9522574950793253,0.30158827480605205,-3.1574751892848325,0.001591417786346003,0.3858689422269838,0.21366206409497115,0.6968707393428004
cos1,-0.44992177756769725,0.459249502513642,-0.9796891996727473,0.3272395589603585,0.637678030397492,0.25923137860133866,1.5686113025575092
sin2,-0.5203842758154901,0.19216843638139378,-2.7079591509122305,0.006769835439260136,0.5942921319919765,0.4077799900521704,0.8661119887279984
cos2,0.07721287474646951,0.14109541974290155,0.5472387047514635,0.584214748544155,1.0802720145489337,0.8192802514221398,1.4244059018777857
is_final_int,0.7028053791001732,0.0708058876528269,9.92580422896674,3.215003983911516e-23,2.019409978914169,1.757739114833049,2.320035225093945
year_c,-0.12336037238522003,0.01301115878900555,-9.481121119623852,2.515655281264761e-21,0.8839450557675735,0.8616882135132938,0.9067767776817619
