bin_15min,obs_rate,perm_mean,perm_lo,perm_hi,p_2sided,n_attempts
0.0,0.0,,,,,0.0
0.25,0.0,0.0,0.0,0.0,,45.0
0.5,0.0,,,,,0.0
0.75,0.0,,,,,0.0
1.0,0.0,,,,,0.0
1.25,0.0,0.0,0.0,0.0,,75.0
1.5,0.0,,,,,0.0
1.75,0.0,0.0,0.0,0.0,,235.0
2.0,0.0,,,,,0.0
2.25,0.0,0.0,0.0,0.0,,200.0
2.5,0.0,,,,,0.0
2.75,0.0,0.0,0.0,0.0,,180.0
3.0,0.0,,,,,0.0
3.25,0.0,0.0,0.0,0.0,,125.0
3.5,0.0,,,,,0.0
3.75,0.0,,,,,0.0
4.0,0.0,0.0,0.0,0.0,,125.0
4.25,0.0,0.0,0.0,0.0,,75.0
4.5,0.0,0.0,0.0,0.0,,95.0
4.75,0.0,0.0,0.0,0.0,,180.0
5.0,0.0,258.83333333333263,0.0,1666.6666666666667,,60.0
5.25,0.0,,,,,0.0
5.5,0.0,0.0,0.0,0.0,,730.0
5.75,0.0,0.0,0.0,0.0,,120.0
6.0,0.0,0.0,0.0,0.0,,50.0
6.25,0.0,,,,,0.0
6.5,0.0,0.0,0.0,0.0,,295.0
6.75,0.0,0.0,0.0,0.0,,80.0
7.0,0.0,0.0,0.0,0.0,,125.0
7.25,0.0,0.0,0.0,0.0,,805.0
7.5,0.0,0.0,0.0,0.0,,210.0
7.75,0.0,0.0,0.0,0.0,,492.0
8.0,7.114399544678429,13.35159362549869,7.114399544678429,18.971732119142477,0.0918,42168.0
8.25,2.538135485672225,6.4090459148715615,0.0,12.690677428361125,0.2427,39399.0
8.5,9.913566095603953,17.46888069642845,13.011555500480188,21.685925834133645,0.0004,161395.0
8.75,3.5705104401725274,7.5039275614842555,4.284612528207033,10.711531320517581,0.0119,140036.0
9.0,8.320294353524686,14.407837717280625,12.018202955091212,16.64058870704937,0.0,432677.0
9.25,9.60863298717617,13.377286669869468,10.347758601574338,16.260763516759674,0.0133,270590.0
9.5,9.2239678215294,14.216901603323908,11.200532354714271,17.130225954268884,0.0005,303557.0
9.75,8.270443502532823,11.79163651400786,8.270443502532823,14.990178848340742,0.0395,193460.0
10.0,11.927441398161186,18.704282282780092,15.571937380932662,21.86697589662884,0.0,301825.0
10.25,8.436816156502939,19.316723351525614,15.291729283661576,23.201244430383085,0.0,189645.0
10.5,16.617906231277523,20.881273806244906,17.055219553153247,24.489546025040564,0.0267,228669.0
10.75,16.132343882908515,25.192268207550473,19.79878567447863,30.798111049188982,0.0022,136372.0
11.0,18.0598118393354,27.691673862372816,22.574764799169248,32.73340895879541,0.0,177189.0
11.25,15.882312067579237,17.12123167330106,11.911734050684428,22.830823597145155,0.735,100741.0
11.5,23.878221072530096,25.777733558850016,18.90359168241966,32.83255397472888,0.6618,100510.0
11.75,14.920362564810324,34.8239397217346,24.245589167816778,44.76108769443098,0.0003,53618.0
12.0,20.713290400331413,24.029676496065456,15.064211200241026,33.89447520054232,0.5531,53106.0
12.25,33.22513865105937,33.64300866409323,20.446239169882688,46.00403813223605,1.0,39127.0
12.5,18.99302438013675,15.680986255957405,8.63319290006216,22.446301540161613,0.4929,57916.0
12.75,15.883415728552427,17.38558977107922,9.927134830345265,25.81055055889769,0.8227,50367.0
13.0,12.317266863310753,18.14903892904635,13.613821269975043,22.689702116625067,0.0185,154255.0
13.25,18.422507040029476,21.645217604898058,15.790720320025265,27.195129440043512,0.2993,113991.0
13.5,15.245107449775839,18.189841112102474,13.55120662202297,22.585344370038282,0.2299,177106.0
13.75,20.727843415948595,21.63439045334809,16.28616268395961,27.390364513932074,0.8021,135084.0
14.0,17.038581026972075,17.528724207847866,13.06291212067859,22.150155335063697,0.9095,176071.0
14.25,28.244819821586887,21.587201958309414,14.906988239170857,28.244819821586887,0.0567,127457.0
14.5,20.864023468865188,18.671404275227598,13.909348979243457,24.025239145965973,0.4718,158167.0
14.75,19.797589445509114,17.259934430383648,11.87855366730547,22.965203756790572,0.4195,126278.0
15.0,20.42275094455223,16.364750331869466,11.48779740631063,21.699172878586747,0.1455,156688.0
15.25,26.521148606836025,18.820612558165692,12.858738718465952,24.91380626702778,0.0147,124429.0
15.5,26.50210123802673,20.32529436262427,14.386854957785939,26.50210123802673,0.0606,132065.0
15.75,27.469732424458236,16.191270729472993,10.173974972021568,22.382744938447452,0.0007,98290.0
16.0,34.814900777532785,18.63094547323345,12.433893134833138,24.867786269666276,0.0,120638.0
16.25,25.76221475778564,17.125234089355402,10.899398551370847,23.78050593026367,0.0144,100923.0
16.5,37.67001070621357,19.638665292043843,12.887108925809907,27.7568499940521,0.0,100876.0
16.75,21.405127717262044,12.724040336773708,5.945868810350569,20.21595395519193,0.0162,84092.0
17.0,46.23731042702725,19.00990505938948,11.302453659939994,26.71489046894908,0.0,97324.0
17.25,47.65308553728854,17.316850971983005,9.810929375324111,26.6296654473083,0.0,71349.0
17.5,30.95553546885254,13.666002154505469,7.42932851252461,21.049764118819727,0.0,80761.0
17.75,26.97991034368255,19.40623443466681,8.301510874979247,31.130665781172173,0.2004,48184.0
18.0,50.36937541974479,19.77438717259871,8.3948959032908,31.480859637340494,0.0,47648.0
